configuration,grace_s,expiry_s,attack,attack_label,required_edges,detector,tp,tn,fp,fn,tpr,fpr,precision,f1,accuracy
Current: 3 s grace / 6 s expiry,3,6,randomPositionOffset,Random position offset,1,1-edge,3938,10034,5116,223,0.9464071136745974,0.3376897689768977,0.43494588027391207,0.5959894059780553,0.7235254518150277
Current: 3 s grace / 6 s expiry,3,6,randomPositionOffset,Random position offset,2,2-edge,3918,12806,2344,243,0.9416005767844268,0.1547194719471947,0.6256786969019482,0.7517989062649909,0.8660349023872405
Current: 3 s grace / 6 s expiry,3,6,constantPositionOffset,Constant position offset,1,1-edge,1256,10378,6033,1644,0.43310344827586206,0.36761927975138625,0.17231444642612156,0.24654038669153008,0.6024545595774429
Current: 3 s grace / 6 s expiry,3,6,constantPositionOffset,Constant position offset,2,2-edge,979,13206,3205,1921,0.3375862068965517,0.1952958381573335,0.2339866156787763,0.27639751552795033,0.7345554347263218
2 s grace / 4 s expiry,2,4,randomPositionOffset,Random position offset,1,1-edge,3943,9652,5498,218,0.9476087478971401,0.36290429042904293,0.41764643575892385,0.5797676812233495,0.7040028999016105
2 s grace / 4 s expiry,2,4,randomPositionOffset,Random position offset,2,2-edge,3918,12815,2335,243,0.9416005767844268,0.15412541254125411,0.6265792419638574,0.7524486268484732,0.8665009580032106
2 s grace / 4 s expiry,2,4,constantPositionOffset,Constant position offset,1,1-edge,1296,9924,6487,1604,0.44689655172413795,0.39528365120955455,0.1665167673133753,0.2426284751474305,0.5810160012428149
2 s grace / 4 s expiry,2,4,constantPositionOffset,Constant position offset,2,2-edge,968,13136,3275,1932,0.33379310344827584,0.19956126987995856,0.22814046665095453,0.27103457930841385,0.7303609341825902
Proposed: 2 s grace / 6 s expiry,2,6,randomPositionOffset,Random position offset,1,1-edge,3939,9813,5337,222,0.946647440519106,0.35227722772277226,0.4246442432082794,0.5862915829426211,0.7121329812024235
Proposed: 2 s grace / 6 s expiry,2,6,randomPositionOffset,Random position offset,2,2-edge,3921,12672,2478,240,0.9423215573179524,0.16356435643564357,0.612751992498828,0.7426136363636363,0.8592512039770079
Proposed: 2 s grace / 6 s expiry,2,6,constantPositionOffset,Constant position offset,1,1-edge,1306,10131,6280,1594,0.4503448275862069,0.3826701602583633,0.17215924070656471,0.24909403013541864,0.5922531199834291
Proposed: 2 s grace / 6 s expiry,2,6,constantPositionOffset,Constant position offset,2,2-edge,1036,13073,3338,1864,0.35724137931034483,0.20340015843032114,0.23685413808870598,0.2848501512235359,0.7306198539692403
2 s grace / 8 s expiry,2,8,randomPositionOffset,Random position offset,1,1-edge,3941,9940,5210,220,0.947128094208123,0.3438943894389439,0.4306633154846465,0.5920973557692307,0.718813111697996
2 s grace / 8 s expiry,2,8,randomPositionOffset,Random position offset,2,2-edge,3918,12675,2475,243,0.9416005767844268,0.16336633663366337,0.6128578132332239,0.7424673109721432,0.8592512039770079
2 s grace / 8 s expiry,2,8,constantPositionOffset,Constant position offset,1,1-edge,1301,10376,6035,1599,0.44862068965517243,0.36774114922917556,0.17734460196292257,0.25420085971082457,0.6046812697426337
2 s grace / 8 s expiry,2,8,constantPositionOffset,Constant position offset,2,2-edge,1045,12895,3516,1855,0.3603448275862069,0.21424654195356774,0.22911642183731637,0.28012330786757805,0.721868365180467
